name,group,start,end
Ron Bonica,lime,2014-10-16 10:12:05,2018-02-26 17:03:43
Martin Vigoureux,bess,2017-12-01 08:17:35,2018-03-21 11:46:31
Matthew Bocci,bess,2018-02-13 08:12:51,None
Stephane Litkowski,bess,2017-12-01 08:17:35,None
Murray Kucherawy,arcmedia,2014-10-02 10:24:13,2015-02-08 11:32:41
Dave Crocker,arcmedia,2015-02-08 11:32:41,2015-07-22 04:44:36
Pascal Thubert,detnet,2014-10-02 09:10:49,2014-11-07 06:21:35
Jouni Korhonen,detnet,2014-10-02 09:10:49,2015-06-11 12:14:27
Erik Nordmark,detnet,2014-11-07 06:21:35,2015-06-11 12:14:27
Patricia Thaler,detnet,2015-06-11 12:14:27,2018-03-26 07:46:17
Janos Farkas,detnet,2017-12-01 10:42:43,None
Lou Berger,detnet,2015-06-11 12:14:27,None
Jon Peterson,netvc,2015-02-12 10:57:44,2015-05-18 12:05:24
Adam Roach,netvc,2015-02-12 10:57:44,2017-03-28 11:12:41
Natasha Rooney,netvc,2017-03-28 11:12:41,2018-05-29 15:29:47
Matthew Miller,netvc,2018-03-22 18:55:11,2020-03-25 13:53:23
Mo Zanaty,netvc,2015-05-18 12:05:24,2020-03-25 13:53:23
Greg Shepherd,bier,2014-10-02 09:14:42,None
Tony Przygienda,bier,2015-02-11 13:11:02,None
Joseph Salowey,i2nsf,2014-10-23 09:46:28,2015-06-12 08:17:52
Dan Romascanu,i2nsf,2014-10-23 09:46:28,2015-09-10 08:03:54
J. Salowey,i2nsf,2015-06-12 08:17:52,2015-09-10 08:03:54
Adrian Farrel,i2nsf,2015-09-10 08:03:54,2017-07-18 14:52:11
Linda Dunbar,i2nsf,2015-09-10 08:03:54,None
Yoav Nir,i2nsf,2017-07-18 14:52:11,None
Fred Templin,dtn,2014-10-02 09:15:27,2014-10-07 13:14:29
Marc Blanchet,dtn,2014-10-02 09:15:27,2014-10-07 13:14:29
Fred Templin,dtn,2014-10-30 10:15:34,2014-10-30 10:21:40
Marc Blanchet,dtn,2014-10-30 10:15:34,2014-10-30 10:21:40
Brian Haberman,dtn,2014-11-07 08:11:26,2016-06-06 09:27:12
Marc Blanchet,dtn,2014-11-07 08:11:26,None
Rick Taylor,dtn,2016-04-25 10:51:51,None
Dilip Krishnaswamy,nfvrg,2014-10-06 08:20:35,2015-01-20 01:20:45
ramki,nfvrg,2014-10-06 08:20:35,2015-01-20 01:20:45
Diego Lopez,nfvrg,2014-10-06 08:20:35,2018-11-19 11:19:25
Ram (Ramki) Krishnan,nfvrg,2015-01-20 01:20:45,2018-11-19 11:19:25
Warren Kumari,gaia,2014-10-06 23:59:36,2014-10-15 04:37:00
Mat Ford,gaia,2014-10-15 04:37:00,2017-05-02 06:47:14
Arjuna Sathiaseelan,gaia,2014-10-06 23:59:36,2018-02-24 19:05:04
Jane Coffin,gaia,2017-05-02 06:47:14,None
Leandro Navarro,gaia,2018-02-27 10:12:08,None
Jari Arkko,genart,2017-03-10 08:08:39,2017-03-30 06:11:20
Alissa Cooper,genart,2017-03-10 08:08:39,None
Ted Lemon,iotdir,2016-11-03 06:24:58,2018-01-10 17:00:42
Terry Manderson,iotdir,2016-11-30 15:26:09,2019-04-29 22:37:28
Ari Keränen,iotdir,2016-11-03 06:24:58,None
Éric Vyncke,iotdir,2019-04-29 22:37:28,None
Samita Chakrabarti,iotdir,2016-11-03 06:24:58,None
Suresh Krishnan,iotdir,2016-11-30 15:26:09,None
Jon Hudson,rtgdir,2017-01-10 01:34:26,2017-02-16 08:46:16
Jonathan Hardwick,rtgdir,2017-01-10 01:34:26,2019-02-12 07:47:23
Min Ye,rtgdir,2017-01-10 01:34:26,None
Luc Burdet,rtgdir,2019-03-07 17:23:49,None
Lou Berger,teas,2015-03-04 13:05:30,None
Vishnu Beeram,teas,2015-03-04 13:05:30,None
Niels,hrpc,2015-01-23 07:26:54,2018-04-17 00:37:55
Avri Doria,hrpc,2015-01-23 07:26:54,None
Mallory Knodel,hrpc,2018-08-15 23:36:25,None
Leif Johansson,tokbind,2015-03-11 15:05:39,2021-03-12 17:57:37
John Bradley,tokbind,2015-03-11 15:05:39,2021-03-12 17:57:37
Ari Keranen,t2trg,2015-11-30 05:30:52,None
Carsten Bormann,t2trg,2015-11-30 05:30:52,None
Dave Thaler,lucid,2015-02-17 06:34:51,None
Marc Blanchet,lucid,2015-02-17 06:34:51,None
Daniel King,supa,2015-10-02 09:44:29,2017-08-03 04:40:34
Nevil Brownlee,supa,2015-10-02 09:44:29,2017-08-03 04:40:34
Adam Roach,modern,2015-03-23 15:22:34,2015-06-01 14:16:34
Steve Donovan,modern,2015-06-01 14:16:34,2020-02-06 11:43:25
Tom McGarry,modern,2015-02-12 10:56:18,2020-02-06 11:43:25
Ted Hardie,acme,2017-06-21 10:14:04,2017-09-07 09:08:33
Rich Salz,acme,2017-06-21 10:14:04,None
Yoav Nir,acme,2017-06-21 10:14:04,None
Russ Housley,dots,2015-02-17 10:18:07,2015-06-04 06:07:07
Roman Danyliw,dots,2015-02-17 10:29:43,2019-03-23 03:52:04
Tobias Gondrom,dots,2015-07-16 08:03:44,2019-03-23 03:52:04
Liang Xia,dots,2018-07-09 08:47:21,None
Valery Smyslov,dots,2019-03-23 03:52:04,None
Adrian Farrel,l3sm,2015-03-24 14:59:05,2016-11-30 16:09:03
Qin Wu,l3sm,2015-03-24 14:59:05,2016-11-30 16:09:03
N Rooney,slim,2015-10-05 06:20:29,2017-11-11 17:24:37
Bernard Aboba,slim,2015-09-28 11:57:35,2018-10-25 06:26:32
Erik Wilde,geojson,2015-10-02 09:17:43,2017-06-07 16:55:09
Martin Thomson,geojson,2015-10-02 09:17:43,2017-06-07 16:55:09
Justin Richer,cose,2015-06-03 09:02:34,2016-11-29 09:28:35
Kepeng Li,cose,2015-06-03 06:58:32,2016-11-29 09:28:35
Ivaylo Petrov,cose,2018-12-03 06:56:46,None
Matthew Miller,cose,2018-12-03 06:56:46,None
Marc Blanchet,lager,2015-06-24 11:57:57,2016-10-27 10:37:00
Scott Hollenbeck,lager,2015-06-24 11:57:57,2016-10-27 10:37:00
Richard Barnes,perc,2015-06-02 19:35:49,2017-04-18 11:48:33
Nils Ohlmeier,perc,2017-04-18 11:48:14,None
Suhas Nandakumar,perc,2015-06-02 19:35:49,None
S Moonesamy,imapapnd,2015-06-26 12:48:40,2016-05-19 06:36:25
Warren Kumari,capport,2015-10-01 06:48:46,2017-03-28 13:40:38
Erik Kline,capport,2017-03-30 23:06:14,2020-12-07 09:12:39
Martin Thomson,capport,2015-10-15 11:10:36,2020-12-07 09:12:39
Alexey Melnikov,artarea,2017-03-30 13:14:23,2020-03-25 17:58:28
Adam Roach,artarea,2017-03-30 13:14:23,2020-03-25 17:58:28
Ben Campbell,artarea,2017-03-30 13:14:23,2020-03-25 17:58:28
Barry Leiba,artarea,2020-03-25 17:58:28,None
Murray Kucherawy,artarea,2020-03-25 17:58:28,None
Albert,nmlrg,2016-02-29 01:31:51,None
Sheng Jiang,nmlrg,2016-02-29 01:31:51,None
Yong Cui,iss,2015-11-01 15:25:23,None
David Black,iss,2015-11-01 15:25:23,None
Ari Keranen,ice,2015-10-02 15:25:45,2020-01-24 14:49:31
Peter Thatcher,ice,2015-10-02 15:25:45,2020-01-24 14:49:31
Ari Keränen,ice,2020-01-24 14:49:31,2020-07-31 08:39:18
tessa.fallon@gmail.com,cellar,2015-10-22 08:03:18,2015-11-03 17:43:45
Tessa Fallon,cellar,2015-11-03 17:43:45,2018-04-09 18:14:37
Tim Terriberry,cellar,2015-11-03 17:43:45,2020-01-13 08:58:41
Michael Richardson,cellar,2018-04-19 02:11:57,None
Spencer Dawkins,cellar,2020-01-13 08:58:41,None
Barry Leiba,hackathon,2016-04-06 14:01:57,None
Charles Eckel,hackathon,2016-04-06 14:01:57,None
Daniel Migault,curdle,2015-12-16 07:13:01,None
Rich Salz,curdle,2015-12-16 07:13:01,None
Mirja Kuehlewind,maprg,2016-01-14 01:44:01,2016-08-19 11:47:36
plonka@akamai.com,maprg,2016-01-14 01:44:01,2016-08-19 11:47:36
Dave Plonka,maprg,2016-08-19 11:47:36,None
Mirja Kühlewind,maprg,2016-08-19 11:47:36,None
Ray Pelletier,mtgvenue,2016-03-09 10:22:22,2016-03-09 10:27:25
Fred Baker,mtgvenue,2016-03-09 10:22:22,2016-06-06 09:04:48
Jonne Soininen,mtgvenue,2016-06-30 07:55:56,2017-03-08 08:33:30
Melinda Shore,mtgvenue,2016-06-30 07:55:56,2017-03-08 08:33:30
Charles Eckel,mtgvenue,2017-03-08 08:33:30,2020-04-29 06:12:04
Pete Resnick,mtgvenue,2017-03-08 08:33:30,2020-04-29 06:12:04
Alexander Pelov,lpwan,2016-06-10 08:58:33,None
Pascal Thubert,lpwan,2016-06-10 08:58:33,None
Donald Eastlake,babel,2016-05-09 13:17:59,None
Russ White,babel,2016-05-09 13:17:59,None
Gonzalo Camarillo,sipbrandy,2016-08-03 13:04:03,2021-02-04 08:27:08
Gonzalo Salgueiro,sipbrandy,2016-08-03 13:04:03,2021-02-04 08:27:08
Alissa Cooper,imtg,2016-07-08 13:11:55,None
Brian Trammell,quic,2016-06-15 13:30:37,2016-08-22 13:34:50
Lars Eggert,quic,2016-06-15 13:30:37,2016-08-22 13:34:50
Lars Eggert,quic,2016-10-03 20:57:12,None
Lucas Pardue,quic,2020-01-15 05:08:17,None
Mark Nottingham,quic,2016-10-03 20:57:12,None
Aaron Falk,plus,2016-06-15 13:32:32,None
Natasha Rooney,plus,2016-06-15 13:32:32,None
Russ Housley,lamps,2018-05-01 06:10:20,None
Timothy Hollebeek,lamps,2018-05-01 06:10:20,None
Keyur Patel,sidrops,2016-10-19 08:38:04,None
Chris Morrow,sidrops,2016-10-19 08:38:04,None
Carlos Bernardos,ipwave,2016-10-18 02:33:13,None
Russ Housley,ipwave,2016-09-22 07:21:51,None
Adrian Farrel,l2sm,2016-11-03 07:14:55,2018-12-21 09:19:22
Qin Wu,l2sm,2016-11-03 07:14:55,2018-12-21 09:19:22
Yoav Nir,secevent,2016-10-28 08:51:46,2016-11-30 09:08:18
Dick Hardt,secevent,2016-11-30 09:08:18,None
Yaron Sheffer,secevent,2016-11-30 09:08:18,None
Brian Trammell,banana,2016-10-12 04:24:39,None
Margaret Cullen,banana,2016-10-12 04:24:39,None
Jim Galvin,dnsbundled,2016-10-06 10:23:38,None
Ning Kong,dnsbundled,2016-10-06 10:23:38,None
NRO Chair,ccg,2016-10-28 08:41:37,None
Greg Shatan,ccg,2016-10-28 08:41:37,None
Russ Housley,ccg,2016-10-28 08:41:37,None
Mirja Kühlewind,tsvart,2016-11-14 22:22:36,2020-03-25 18:55:47
Spencer Dawkins,tsvart,2016-11-14 22:22:36,2020-03-25 18:55:47
Magnus Westerlund,tsvart,2020-03-25 18:55:47,None
Martin Duke,tsvart,2020-03-25 18:55:47,None
Joe Hildebrand,cbor,2016-12-15 07:46:59,2018-03-23 07:25:24
Barry Leiba,cbor,2018-03-31 05:17:57,2019-03-23 07:32:58
Francesca Palombini,cbor,2016-12-15 07:46:59,None
Jim Schaad,cbor,2019-03-23 09:12:20,None
Barry Leiba,jmap,2017-03-25 16:02:26,2019-03-23 07:33:28
Bron Gondwana,jmap,2017-02-15 11:02:14,None
Jim Fenton,jmap,2019-04-04 02:57:47,None
Tal Mizrahi,ioam,2017-02-15 11:13:48,None
Paul Hoffman,wugh,2017-03-10 16:01:24,None
Gonzalo Camarillo,iasa20,2017-02-27 13:20:25,2017-03-13 09:21:37
Leslie Daigle,iasa20,2017-02-27 13:20:25,2017-03-13 09:21:37
Jon Peterson,iasa20,2017-03-13 09:01:18,None
Marc Blanchet,casm,2017-02-21 10:33:57,None
Ralph Droms,casm,2017-02-21 10:33:57,None
Tero Kivinen,teep,2017-03-03 07:41:11,2017-09-13 11:44:10
Dave Thaler,teep,2017-09-13 11:44:10,2019-11-17 07:33:16
Nancy Cam-Winget,teep,2017-03-03 07:41:11,None
Reddy K,teep,2019-11-18 18:17:04,None
Ben Campbell,artart,2017-03-26 17:04:49,2019-03-27 11:19:57
Alexey Melnikov,artart,2017-03-26 17:04:49,2020-03-25 18:01:15
Adam Roach,artart,2017-03-26 17:04:49,2020-03-25 18:01:15
Barry Leiba,artart,2019-03-27 11:19:57,None
Murray Kucherawy,artart,2020-03-25 18:01:15,None
Rich Salz,dcrup,2017-04-24 07:49:45,2018-09-20 11:08:06
Murray Kucherawy,dcrup,2017-04-24 07:49:45,2018-09-20 11:08:06
Brian Haberman,ideas,2017-06-15 08:31:47,2017-09-07 11:36:04
Tim Wicinski,ideas,2017-06-15 08:31:47,2017-09-28 06:32:20
Padma Pillay-Esnault,ideas,2017-09-07 11:36:04,None
Adrian Farrel,netslicing,2017-06-12 07:12:48,None
Gonzalo Camarillo,netslicing,2017-06-12 07:12:48,None
Jen Linkova,panrg,2017-06-09 12:53:50,None
Brian Trammell,panrg,2017-06-09 12:53:50,None
Mirjam Kuehne,emodir,2017-06-16 16:57:55,None
Karen O'Donoghue,emodir,2017-06-16 16:57:55,None
Bron Gondwana,extra,2017-09-11 07:44:00,None
Jiankang Yao,extra,2017-11-14 21:09:53,None
Benjamin Schwartz,doh,2017-09-28 12:55:51,2020-03-17 12:12:31
David Lawrence,doh,2017-09-28 12:55:51,2020-03-17 12:12:31
David Waltermire,suit,2017-10-27 12:29:39,None
Dave Thaler,suit,2017-10-27 12:29:39,None
Russ Housley,suit,2017-10-27 12:29:39,None
Jeff Tantsura,rift,2018-02-01 12:34:11,None
Zhaohui Zhang,rift,2018-02-01 12:34:11,None
Adrian Farrel,coms,2018-02-27 15:09:33,None
Gonzalo Camarillo,coms,2018-02-27 15:09:33,None
Joel Halpern,ila,2018-03-06 20:36:56,None
Samita Chakrabarti,ila,2018-03-06 20:36:56,None
Roman Danyliw,secdispatch,2018-03-08 07:31:02,2019-03-27 11:34:29
Francesca Palombini,secdispatch,2019-11-16 15:58:10,None
Kathleen Moriarty,secdispatch,2019-03-18 20:54:23,None
Richard Barnes,secdispatch,2018-03-08 07:31:02,None
Nick Sullivan,mls,2018-03-01 07:51:33,None
Sean Turner,mls,2018-02-28 20:04:42,None
Jason Livingood,iasa2,2018-04-19 07:13:11,2020-03-05 11:30:59
Jon Peterson,iasa2,2018-04-19 07:13:11,2020-03-05 11:30:59
Gonzalo Camarillo,rfcplusplus,2018-06-21 08:47:45,None
Sean Turner,rfcplusplus,2018-06-21 08:47:45,None
Pete Resnick,i18nrp,2018-06-14 11:37:07,None
Peter Saint-Andre,i18nrp,2018-06-14 11:37:07,None
Christopher Wood,pearg,2019-02-21 08:39:34,None
Sara Dickinson,pearg,2019-02-21 08:39:34,None
Shivan Sahib,pearg,2019-02-21 08:39:34,None
Stephanie Wehner,qirg,2018-11-06 14:00:16,2020-03-02 15:35:12
Rodney Van Meter,qirg,2018-11-06 14:00:16,None
Wojciech Kozlowski,qirg,2020-03-02 15:35:12,None
Roman Danyliw,rats,2018-10-21 19:53:26,2019-03-27 22:51:59
Kathleen Moriarty,rats,2019-03-07 08:11:49,None
Nancy Cam-Winget,rats,2018-10-21 19:53:26,None
Ned Smith,rats,2019-03-07 08:11:49,None
Christopher Wood,git,2019-01-29 06:53:21,2020-09-10 09:25:09
Paul Hoffman,git,2019-01-29 06:53:21,2020-09-10 09:25:09
Eve Schooler,coinrg,2019-02-19 14:19:41,None
Jianfei He,coinrg,2019-02-19 14:19:41,None
Marie-Jose Montpetit,coinrg,2019-02-19 14:19:41,None
Richard Barnes,bimi,2019-03-01 07:53:07,None
Murray Kucherawy,bimi,2019-02-20 04:50:15,None
Alvaro Retana,wgtlgo,2019-03-15 05:55:49,None
Karen O'Donoghue,wgtlgo,2019-03-15 05:55:49,None
Spencer Dawkins,wgtlgo,2019-03-15 05:55:49,None
Adrian Farrel,bcause,2019-03-12 02:21:26,None
Barbara Stark,bcause,2019-03-12 02:21:26,None
Christopher Inacio,cacao,2019-02-25 14:35:35,None
Joseph Salowey,cacao,2019-02-25 14:35:35,None
Kathleen Moriarty,smart,2019-03-24 04:40:15,None
Kirsty P,smart,2019-03-24 04:40:15,None
Ethan Grossman,paw,2019-03-23 05:22:37,None
Pascal Thubert,paw,2019-03-23 05:22:37,None
Brian Rosen,rum,2019-02-27 08:53:35,None
Paul Kyzivat,rum,2019-02-27 08:53:35,None
Lars Eggert,add,2019-07-08 08:51:51,2019-10-09 08:07:23
David Lawrence,add,2019-07-08 08:51:51,2019-10-09 08:07:23
Benjamin Schwartz,add,2020-01-28 11:15:58,2020-02-06 09:23:42
David Lawrence,add,2020-01-28 11:15:58,None
Glenn Deen,add,2020-02-06 09:23:42,None
Glenn Deen,mops,2019-11-17 00:37:23,2019-12-08 03:19:21
Kyle Rose,mops,2019-12-08 03:19:21,None
Leslie Daigle,mops,2019-09-30 14:24:19,None
Mališa Vučinić,lake,2019-10-30 10:33:47,None
Stephen Farrell,lake,2019-09-25 15:55:10,None
Ole Trøan,loops,2019-06-27 06:11:22,None
Spencer Dawkins,loops,2019-06-27 06:11:22,None
Alvaro Retana,tdd,2019-07-03 05:48:51,2019-07-12 08:41:54
Karen O'Donoghue,tdd,2019-07-03 05:48:51,2019-07-12 08:41:54
Warren Kumari,tdd,2019-07-03 05:48:51,2019-07-12 08:41:54
Spencer Dawkins,tdd,2019-07-03 05:48:51,2019-07-22 05:17:24
Jamal Hadi Salim,tdd,2019-07-12 08:41:54,2020-02-04 09:33:47
Mirja Kühlewind,tdd,2019-07-03 05:48:51,2020-02-04 09:33:47
Geoff Huston,tdd,2020-02-04 09:33:47,None
Wes Hardaker,tdd,2020-02-04 09:33:47,None
Francesca Palombini,gendispatch,2019-09-26 09:20:53,None
Pete Resnick,gendispatch,2019-09-26 09:20:53,None
Benjamin Schwartz,abcd,2019-10-16 08:13:12,None
David Lawrence,abcd,2019-10-16 08:13:12,None
Patrick McManus,wpack,2019-10-16 08:13:38,2020-01-17 08:34:42
David Lawrence,wpack,2020-03-03 02:48:55,None
Sean Turner,wpack,2019-11-17 17:40:46,None
Daniel Migault,tmrid,2019-11-07 11:22:30,None
Gonzalo Camarillo,tmrid,2019-11-07 11:22:30,None
Erik Nordmark,raw,2019-10-14 07:26:29,2020-01-17 10:34:50
Rick Taylor,raw,2019-10-14 07:26:29,2020-01-17 10:34:50
Eve Schooler,raw,2020-02-07 12:03:07,None
Rick Taylor,raw,2020-02-07 12:03:07,None
Dick Hardt,txauth,2019-10-28 08:24:39,None
Yaron Sheffer,txauth,2019-10-28 08:43:56,None
Rich Salz,mathmesh,2019-10-18 12:14:52,None
Wes Hardaker,mathmesh,2019-11-08 05:41:06,None
Bernard Aboba,webtrans,2019-10-15 16:23:10,None
David Schinazi,webtrans,2019-10-15 16:23:10,None
Daniel Migault,drip,2020-02-12 03:51:24,None
Mohamed Boucadair,drip,2020-03-12 01:34:03,None
Martin Thomson,ript,2020-02-14 15:26:49,None
Mo Zanaty,ript,2020-02-14 15:26:49,None
Jana Iyengar,masque,2020-02-18 15:17:04,2020-05-11 08:03:02
Christopher Wood,masque,2020-02-18 15:17:04,None
Eric Kinnear,masque,2020-04-22 10:27:40,None
Benjamin Schwartz,privacypass,2020-03-11 08:17:30,None
Joseph Salowey,privacypass,2020-03-10 13:47:02,None
Jari Arkko,model-t,2020-02-13 10:58:01,None
Stephen Farrell,model-t,2020-02-13 10:58:01,None
