Draft,Bwc_most_infl,Bwc_least_infl,Bwc_avg,Email_count_most_infl,Email_count_least_infl,Email_count_avg,Age_most_infl,Age_least_infl,Age_avg,Total_authors,In_top10,In_next20,Draft_published_most_infl,Draft_published_least_infl,Draft_published_avg,Areas_most_infl,Areas_least_infl,Areas_avg,Mlist_count_most_infl,Mlist_count_least_infl,Mlist_count_avg,cisco,huawei,ericsson,nokia,juniper,nortel,microsoft,sun,at&t,china mobile,alcatel-lucent,nec,comcast,google,ibm,alcatel,mit,uc3m,france,tsinghua university
draft-ietf-payload-rtp-ttml,0.0003,0.0003,0.0,40,40,40.0,1.0,1.0,1.0,1,0,0,1,1,1.0,3,3,1.0,4,4,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-opsawg-ersue-coman-use-cases,0.3826,0.0538,0.238,2971,567,2034.0,21.5,12.0,17.167,3,3,0,1,1,1.0,11,7,1.0,123,34,69.667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-kao-path-binding-bgp4,0.0,0.0,0.0,1,1,1.0,16.5,16.5,16.5,1,0,0,1,1,1.0,1,1,1.0,1,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-babel-yang-model,0.1025,0.0565,0.08,644,938,791.0,15.0,14.0,14.5,2,2,0,1,1,1.0,8,8,1.0,38,59,48.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
draft-zcxh-bier-te-forwarding,0.0,0.0,0.0,0,0,0.0,-2.0,-2.0,-2.0,4,0,0,1,1,0.667,0,0,0.667,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-hollstein-embedded-ldif,0.0,0.0,0.0,0,0,0.0,5.5,5.5,5.5,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-dns-dprot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-netvc-requirements,0.0061,0.0,0.002,30,4,12.0,4.5,3.5,3.833,3,0,1,1,0,0.333,4,1,0.333,4,1,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-menth-pcn-performance,0.0247,0.0247,0.025,218,218,218.0,6.5,6.5,6.5,2,1,0,1,1,1.0,4,4,1.0,9,9,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-sacm-fitzgeraldmckay-endpoint-compliance-standard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-teas-rsvp-egress-protection,0.014,0.0,0.006,178,11,88.2,7.5,4.0,7.6,5,2,1,1,1,1.0,5,1,1.0,18,4,8.4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
draft-ietf-appsawg-rabbit-vm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-clad-spring-segment-routing-service-chaining,0.0519,0.0,0.006,1271,0,193.727,12.0,-1.5,5.318,11,2,1,1,1,1.0,7,0,1.0,33,0,7.909,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
draft-briscoe-tsvwg-ecn-encap-guidelines,0.0505,0.0001,0.026,709,32,288.0,17.5,5.5,12.167,3,2,0,1,1,1.0,8,3,1.0,29,7,19.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ma-cdni-capabilities,0.0193,0.0152,0.017,182,247,214.5,8.5,5.0,6.75,2,2,0,1,1,1.0,5,4,1.0,9,4,6.5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
draft-adubey-bfd-service-redundancy,0.0176,0.0,0.007,777,7,308.333,17.0,2.0,10.167,3,1,1,1,1,1.0,7,1,1.0,32,1,15.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-struik-6tisch-security-architectural-framework,0.0269,0.0269,0.027,374,374,374.0,8.5,8.5,8.5,1,1,0,1,1,1.0,8,8,1.0,32,32,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ji-roll-traffic-aware-objective-function,0.035,0.0,0.007,241,0,59.2,5.5,15.5,4.9,5,1,0,1,1,1.0,4,0,1.0,13,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-raiciu-mptcp-congestion,0.0106,0.0,0.004,56,1,49.0,16.5,0.5,6.0,3,1,1,1,1,1.0,5,1,1.0,9,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-lasserre-nvo3-framework,0.0731,0.0098,0.025,230,78,193.2,8.0,13.0,11.0,5,5,0,1,0,0.8,5,6,0.8,16,14,12.8,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
draft-cl-spring-generalized-srv6-for-cmpr,0.022,0.0001,0.004,254,45,141.286,8.5,6.0,8.929,8,1,1,1,1,0.857,7,4,0.857,24,11,15.714,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
draft-lhomme-cellar-tags,0.0492,0.0018,0.029,344,115,261.333,2.5,2.0,2.333,3,2,1,1,1,1.0,4,1,1.0,5,1,2.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-xu-va-tunnels-gre,0.0134,0.0,0.007,107,319,213.0,16.0,3.5,9.75,2,1,0,1,0,0.5,6,5,0.5,12,15,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-mediactrl-ivr-control-package,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-higgs-oipf-urn,0.0,0.0,0.0,4,4,4.0,0.0,0.0,0.0,2,0,0,0,0,0.0,1,1,0.0,1,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-mao-ipsecme-ad-vpn-protocol,0.1124,0.0,0.056,617,8,312.5,11.5,3.0,7.25,3,1,0,1,1,1.0,7,1,1.0,30,1,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-i2nsf-nsf-facing-interface-dm,0.4218,0.0,0.091,2137,7,550.2,30.5,17.0,14.2,5,2,0,0,1,0.6,8,2,0.6,68,2,17.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-zong-ppsp-chunk-discovery,0.0,0.0,0.0,63,63,63.0,2.0,2.0,2.0,1,0,0,1,1,1.0,3,3,1.0,5,5,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-rosenberg-sip-rfc4474-concerns,0.8726,0.8726,0.873,2487,2487,2487.0,16.5,16.5,16.5,1,1,0,1,1,1.0,5,5,1.0,30,30,30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-tsou-behave-ftp46,0.4038,0.0,0.146,1819,20,931.0,6.0,15.0,9.5,3,2,0,1,1,1.0,11,2,1.0,61,3,40.667,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-boucadair-port-range,0.01,0.0008,0.006,112,63,127.25,5.0,4.0,5.625,4,0,3,1,1,1.0,6,4,1.0,13,8,13.25,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
draft-westphal-icnrg-arvr-icn,0.0073,0.0073,0.007,45,45,45.0,6.0,6.0,6.0,1,0,1,1,1,1.0,2,2,1.0,5,5,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-6lo-6lobac,0.0077,0.0,0.004,219,1,110.0,7.5,8.5,8.0,4,1,0,1,1,1.0,6,1,1.0,15,1,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-gont-v6ops-ra-guard-evasion,0.064,0.064,0.064,896,896,896.0,7.5,7.5,7.5,2,1,0,1,1,1.0,9,9,1.0,31,31,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-fge-json-schema-validation,0.0004,0.0004,0.0,13,13,13.0,4.5,4.5,4.5,2,0,0,1,1,1.0,2,2,1.0,4,4,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-penno-pcp-mobile-qos,0.2799,0.0,0.077,2106,0,814.6,15.5,21.5,12.0,5,3,1,1,0,0.8,9,0,0.8,75,0,29.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
draft-ietf-dime-rfc3588bis,0.35,0.002,0.153,1992,76,917.5,14.5,12.5,13.75,4,3,0,1,1,1.0,12,4,1.0,105,7,39.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-ccamp-dwdm-if-param-yang,0.004,0.0,0.001,112,5,52.75,19.0,4.5,11.875,5,0,1,1,1,1.0,3,1,1.0,8,1,3.75,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-mmusic-ice-sip-sdp,0.1958,0.0044,0.051,4220,373,1253.2,16.0,7.5,14.6,5,4,1,1,1,1.0,8,5,1.0,57,19,25.8,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-masque-ip-proxy-reqs,0.0253,0.0,0.008,624,2,211.0,5.5,0.5,2.167,3,1,0,1,1,1.0,8,1,1.0,41,1,14.333,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
draft-avasarala-dispatch-comm-div-notification,0.0296,0.0001,0.015,124,39,81.5,12.5,5.5,9.0,2,1,0,1,1,1.0,4,3,1.0,11,4,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-mpls-ldp-multi-topology,0.0228,0.0,0.01,248,9,117.0,10.0,2.5,6.1,6,3,0,1,1,1.0,6,3,1.0,22,3,11.4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-chen-idr-bgp-ls-transport-slice,0.0,0.0,0.0,14,14,14.0,7.0,7.0,7.0,1,0,0,1,1,1.0,1,1,1.0,1,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-johansson-wireless-congestion-properties,0.0304,0.0304,0.03,336,336,336.0,3.5,3.5,3.5,1,1,0,1,1,1.0,7,7,1.0,20,20,20.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-hao-idr-flowspec-evpn,0.0141,0.0,0.007,301,9,209.25,3.0,0.0,2.125,4,2,1,1,1,1.0,3,1,1.0,15,2,11.5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-levine-appsarea-eaiauth,0.4636,0.4636,0.464,3228,3228,3228.0,16.0,16.0,16.0,1,1,0,1,1,1.0,8,8,1.0,68,68,68.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-jung-mipshop-access-authentication-keys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-schaad-cose,0.0,0.0,0.0,1446,1446,1446.0,17.5,17.5,17.5,1,0,0,1,1,1.0,7,7,1.0,33,33,33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-httpbis-cdn-loop,0.4551,0.0,0.156,2067,0,749.333,18.5,7.0,9.5,3,2,0,1,0,0.667,9,0,0.667,60,0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-thubert-lpwan-schc-over-ppp,0.2881,0.2881,0.288,2583,2583,2583.0,17.0,17.0,17.0,1,1,0,1,1,1.0,9,9,1.0,51,51,51.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-v6ops-464xlat-optimization,0.1441,0.0,0.072,1267,29,648.0,17.0,3.5,10.25,2,1,0,1,1,1.0,9,1,1.0,36,2,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-sheikh-true-mobility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-blau-simple-msrp-acm,0.152,0.152,0.152,1535,1535,1535.0,5.5,5.5,5.5,2,1,0,1,1,1.0,4,4,1.0,14,14,14.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-seantek-text-markdown-media-type,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ellard-nfsv4-federated-fs-admin,0.0191,0.0,0.005,64,0,21.5,17.5,-5.5,3.75,4,1,0,1,1,1.0,3,0,1.0,3,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
draft-ietf-idr-flowspec-mpls-flow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-sas-idr-maxprefix-inbound,0.1883,0.0003,0.072,869,4,314.667,10.5,4.0,5.5,3,2,0,1,1,1.0,7,2,1.0,33,3,16.667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-mpls-tp-oam-def,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-bergmann-ace-dcaf-cose,0.0017,0.0,0.001,154,103,128.5,2.5,7.5,5.0,2,0,1,1,1,1.0,4,4,1.0,10,8,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-templin-intarea-grefrag,0.0707,0.0707,0.071,1687,1687,1687.0,19.0,19.0,19.0,1,1,0,0,0,0.0,9,9,0.0,33,33,33.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ali-ccamp-extended-srlg,0.2028,0.0,0.039,1078,0,233.167,13.0,-3.5,8.25,6,3,0,1,1,1.0,8,0,1.0,50,0,13.667,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-yi-loadngct,0.0297,0.0108,0.02,540,154,347.0,13.5,4.5,9.0,2,2,0,1,1,1.0,7,3,1.0,18,4,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-fan-core-coap-via-option,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-liu-coinrg-requirements,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-thubert-6man-wind-sail,0.1006,0.0,0.05,1352,72,712.0,10.5,6.5,8.5,2,1,0,1,1,1.0,7,3,1.0,25,5,15.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-romanow-clue-audio-rendering-tag,0.0029,0.0,0.001,169,17,58.0,22.0,1.0,6.625,4,0,1,1,1,1.0,3,1,1.0,7,1,2.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-arkko-ietf-trends-and-observations,0.2378,0.0018,0.071,2180,22,747.778,18.0,1.5,14.5,9,8,1,1,1,1.0,12,1,1.0,139,2,53.889,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-mrosenau-email-ipv4-to-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-medved-irs-topology-requirements,0.0667,0.0002,0.021,412,39,168.5,11.5,2.0,10.25,4,2,1,1,1,1.0,6,3,1.0,30,6,14.75,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-gmassey-avt-rtp-aptx,0.0,0.0,0.0,8,8,8.0,1.0,1.0,1.0,1,0,0,1,1,1.0,1,1,1.0,1,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-herbert-udp-magic-numbers,0.0371,0.0149,0.026,956,341,648.5,9.5,1.5,5.5,2,2,0,1,1,1.0,7,5,1.0,29,19,24.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
draft-iab-ipv6-nat,0.0531,0.0143,0.031,473,278,305.333,13.0,17.5,13.0,3,3,0,1,1,1.0,9,6,1.0,40,21,28.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-park-multihoming-ext-pmipv6-2level-prefix,0.0,0.0,0.0,4,1,2.5,7.0,1.0,4.0,2,0,0,1,1,1.0,2,1,1.0,2,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-li-behave-dns64-load-balancing,0.0079,0.0,0.003,53,0,48.5,1.5,-6.0,-0.75,5,0,2,1,1,1.0,5,0,1.0,8,0,5.5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
draft-gerhards-syslog-plain-tcp,0.0118,0.0069,0.009,172,117,144.5,13.5,9.5,11.5,2,1,1,0,1,0.5,5,3,0.5,12,3,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-nottingham-uri-get-off-my-lawn,0.4154,0.4154,0.415,3057,3057,3057.0,13.0,13.0,13.0,1,1,0,1,1,1.0,6,6,1.0,41,41,41.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-kumaki-pce-bgp-disco-attribute,0.0092,0.0,0.002,30,2,9.0,6.0,0.0,2.0,4,0,1,1,1,1.0,4,1,1.0,7,1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-wu-l2vpn-vpms-dual-access,0.0341,0.0341,0.034,206,206,206.0,13.5,13.5,13.5,1,1,0,1,1,1.0,6,6,1.0,19,19,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-jain-nvo3-vxlan-ping,0.036,0.0,0.01,236,8,72.6,5.5,11.0,5.6,5,2,0,1,1,1.0,5,2,1.0,20,3,6.8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
draft-rahman-core-advanced-rd-features,0.0156,0.0,0.008,260,32,146.0,10.0,3.5,6.75,2,1,0,1,1,1.0,6,3,1.0,10,6,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-georgescu-bmwg-ipv6-tran-tech-benchmarking,0.0001,0.0001,0.0,43,43,43.0,20.0,20.0,20.0,1,0,0,1,1,1.0,3,3,1.0,4,4,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-wood-icnrg-ccnxkeyexchange,0.0104,0.0,0.004,71,2,49.667,13.0,2.0,5.5,3,1,1,1,0,0.667,4,1,0.667,5,1,4.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-matsuhira-sa46t-pt-spec,0.0,0.0,0.0,21,21,21.0,5.5,5.5,5.5,1,0,0,1,1,1.0,2,2,1.0,3,3,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-manet-credit-window,0.0247,0.0247,0.025,638,638,638.0,11.0,11.0,11.0,1,1,0,0,0,0.0,4,4,0.0,10,10,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-6man-ipv6-eh-parsing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-jones-webauthn-cose-algorithms,0.0,0.0,0.0,1,1,1.0,19.5,19.5,19.5,1,0,0,1,1,1.0,1,1,1.0,1,1,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-dearlove-manet-olsrv2-extensions,0.1023,0.1023,0.102,700,700,700.0,10.5,10.5,10.5,1,1,0,1,1,1.0,8,8,1.0,14,14,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-vvv-webtransport-overview,0.0038,0.0038,0.004,109,109,109.0,3.0,3.0,3.0,1,0,1,1,1,1.0,4,4,1.0,9,9,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
draft-nayak-intarea-probe-by-vfi,0.0609,0.0,0.02,1224,2,412.333,19.5,1.5,7.333,3,1,0,1,1,1.0,8,1,1.0,31,1,11.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-zhao-mpls-mldp-protections,0.0001,0.0,0.0,56,8,16.5,5.5,9.0,4.0,4,0,0,1,1,1.0,1,1,1.0,3,1,1.25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-holmberg-mmusic-mux-exlusive,0.1709,0.1709,0.171,3467,3467,3467.0,12.5,12.5,12.5,1,1,0,1,1,1.0,8,8,1.0,47,47,47.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-tram-turnbis,0.0274,0.0006,0.01,1369,54,371.5,8.0,20.0,19.0,4,1,2,1,1,1.0,8,4,1.0,34,10,12.5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
draft-irtf-panrg-questions,0.0775,0.0775,0.077,759,759,759.0,16.0,16.0,16.0,1,1,0,1,1,1.0,9,9,1.0,43,43,43.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-websec-key-pinning,0.0214,0.0,0.009,93,1,81.333,4.0,12.0,8.667,3,1,1,0,1,0.667,5,1,0.667,9,1,6.333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
draft-birrane-dtn-adm-ltp,0.012,0.012,0.012,54,54,54.0,9.0,9.0,9.0,3,1,0,1,1,1.0,2,2,1.0,2,2,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-simple-intradomain-federation,0.3346,0.0124,0.107,1476,12,695.25,19.0,2.0,9.75,4,4,0,1,0,0.75,5,2,0.75,28,2,16.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
draft-thomson-httpbis-http2bis,0.7287,0.7287,0.729,5991,5991,5991.0,15.0,15.0,15.0,1,1,0,1,1,1.0,9,9,1.0,92,92,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-quinn-nsc-arch,0.0451,0.0,0.011,384,1,99.5,8.5,0.0,5.0,4,1,0,1,1,1.0,9,1,1.0,36,1,10.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-li-opsawg-loadbalance-mib,0.0191,0.0,0.01,933,6,469.5,6.0,1.5,3.75,3,1,0,1,1,1.0,10,3,1.0,59,5,32.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
draft-vanrein-diameter-sasl,0.0066,0.0066,0.007,94,94,94.0,15.0,15.0,15.0,1,0,1,1,1,1.0,3,3,1.0,11,11,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-manet-dlep-pause-extension,0.2689,0.0,0.09,2061,7,711.333,22.5,8.5,11.833,3,1,0,1,1,1.0,7,1,1.0,63,1,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-rpeon-httpbis-header-compression,0.054,0.054,0.054,832,832,832.0,3.5,3.5,3.5,1,1,0,1,1,1.0,3,3,1.0,6,6,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-riegel-tuexen-mobile-sctp,0.2738,0.0056,0.14,491,48,269.5,6.5,7.0,6.75,2,1,1,1,1,1.0,6,3,1.0,13,3,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-ospf-af-alt,0.4859,0.0002,0.104,772,15,196.6,13.5,7.0,8.4,5,2,1,1,0,0.8,7,3,0.8,25,4,10.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-lake-edhoc,0.0256,0.0097,0.019,390,392,395.667,7.5,5.0,8.0,3,2,1,1,1,1.0,6,8,1.0,16,27,22.667,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-sratliff-dlep,0.0106,0.0004,0.005,95,22,58.5,5.0,5.5,5.25,3,1,0,1,1,1.0,3,3,1.0,7,3,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-hong-lwig-sleepynode-problem-statement,0.0,0.0,0.0,48,0,24.0,8.0,-1.5,3.25,2,0,0,1,1,1.0,1,0,1.0,6,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-cao-sunset4-v4v6-mulitcast-address-conversion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-levine-dprive-signal,0.4739,0.4739,0.474,3024,3024,3024.0,17.0,17.0,17.0,1,1,0,1,1,1.0,9,9,1.0,73,73,73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-kucherawy-repute-considerations,0.2492,0.2492,0.249,2839,2839,2839.0,6.5,6.5,6.5,1,1,0,1,1,1.0,8,8,1.0,43,43,43.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-kondreddy-pce-pcep-ls-sync-optimizations,0.0,0.0,0.0,12,0,6.0,3.5,-1.5,1.0,2,0,0,1,1,1.0,1,0,1.0,3,0,1.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-i2nsf-capability-data-model,0.4218,0.0,0.124,2137,2,758.0,31.0,2.5,16.8,5,3,0,0,1,0.6,8,1,0.6,68,1,26.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-tcpm-fastopen,0.0135,0.0,0.005,244,1,117.0,4.5,3.5,8.667,4,1,0,1,1,1.0,4,1,1.0,13,1,5.333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
draft-hennessy-bsp-suiteb-profile,0.0,0.0,0.0,11,1,6.0,1.0,-0.5,0.25,2,0,0,1,1,1.0,2,1,1.0,2,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
